"","gene","clone_id","AASA_fold_clone","AASA_fdr_clone","log2FoldChange","fdr"
"7852","PAQR8","SB02018B2C06.f1",1.152269617,0.214043557,0.204478329278125,0.669497840483074
"7853","MCM3","SB02014A2C03.f2",0.959998859,0.676631305,-0.0588954037577558,0.169647913030089
"7854","LOC105759121","SB02020A1C05.f1",1.015041148,0.914079894,0.0215382129397808,0.0390158436458771
"7855","ENPP5","SB02010B2H03.f1",1.467142201,0.220217269,0.553008709276538,0.657148627519856
"7856","ANKRD66","SB02049A2H10.f1",0.787808078,0.150186621,-0.344083884801628,0.823368753647891
"7857","TNFRSF21","SB02021A1G07.f1",1.032586638,0.824123017,0.0462628343993371,0.0840079562438347
"7858","GCFC2","SB02020B2E02.f1",1.098615092,0.509627513,0.135686015833056,0.292747134005635
"7859","LOC100223718","SB03046B2G03.f1",1.03631615,0.759634855,0.0514641945856971,0.11939511635882
"7860","LDAH","SB02018B2H07.f1",0.981223882,0.913291726,-0.0273457468217802,0.0393904768411093
"7861","LDAH","SB02046B1F07.f1",1.070629647,0.444674246,0.0984595082490809,0.351958022662542
"7862","LDAH","SB02047A2G04.f1",1.024794429,0.757803427,0.0353345380171006,0.120443435054924
"7863","HS1BP3","SB02044B2B08.f1",1.165538109,0.18491593,0.220996176295593,0.733025673951203
"7864","HS1BP3","SB03030B2A06.f1",1.16861155,0.187409201,0.224795453376743,0.727209090900565
"7865","PUM2","SB02009A1E01.f1",1.240922232,0.023163332,0.311412705296242,1.63519896803918
"7866","PUM2","SB02032A2F08.f2",1.031748391,0.661399113,0.045091188480028,0.179536391852712
"7867","PUM2","SB02031B2B01.f1",0.91451986,0.390516885,-0.128913594555358,0.408360183543934
"7868","PUM2","SB02034B1F05.f1",1.165896119,0.060718507,0.22143925056245,1.2166789157956
"7869","LOC105759117","SB02009A1G06.f1",1.002886322,0.990523093,0.00415808453291748,0.00413539489013882
"7870","LOC105759117","SB03034B1A06.f1",1.400729733,0.019995582,0.486178618527824,1.69906595058472
"7871","MATN3","SB02005B2D01.f1",0.857650858,0.179232975,-0.221537635909682,0.746582086509299
"7872","OSR1","SB03003A1B02.f1",0.794497482,0.233665091,-0.331885447638136,0.631406165307836
"7873","KCNS3","SB03041A2F02.f1",1.046775017,0.689444794,0.0659513976297338,0.16150050341278
"7874","SMC6","SB010015000F03",1.361254937,0.019193898,0.444937281318675,1.71683681744904
"7875","SMC6","SB02039B2E10.f1",1.042930312,0.609373026,0.0606427610303556,0.21511677380653
"7876","MYCN","SB02048A1C04.f1",1.197123154,0.12768848,0.259571577114887,0.893848282831434
"7877","DDX1","SB02022B2H03.f1",0.892672271,0.252831753,-0.163797482569918,0.597168384160623
"7878","DDX1","SB02043B1G02.f1",0.872262086,0.053338797,-0.197166412451702,1.27295678358715
"7879","E2F6","SB03010A2G12.f1",0.756091275,0.188987903,-0.40336768842879,0.723565993861072
"7880","ROCK2","SB02013A1D11.f1",1.543668036,0.008594421,0.626362536084777,2.06578337610026
"7881","ROCK2","SB02041B1F09.f1",1.12948007,0.165199789,0.175658814187536,0.781990511714149
"7882","ROCK2","SB03001A2H11.f1",1.025990747,0.948453124,0.037017719914354,0.0229841286564027
"7883","PDIA6","SB03009B1C03.f1",1.331490955,0.211281193,0.413042628157264,0.675139159548888
"7884","NOL10","SB03034B1F02.f1",0.993653337,0.933981005,-0.00918547873623788,0.0296619562191253
